Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Pearse Street Library,http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-public-libraries-and-archive-locations-hours-19,+353(0)16744888,-6.245275,53.343092,Dublin,Dublin City,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Literary Ireland,Cafe,Food and Drink"
Roney Point Beach,,,-6.211656302,52.59954632,Wexford,Courtown,Republic of Ireland,Beach
Urban Brewing,http://urbanbrewing.ie,+353(0)15685989,-6.248247449,53.34908681,Dublin,,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Museums and Attraction,Historic Houses and Castle,Local Produce,Pubs and Bar,Activity Operator,Food Shops,Shopping,Tour"
Barnageara Beach,,+353(0)18400077,-6.148359036,53.58666584,Dublin,,Republic of Ireland,Beach
Dwyer McAllister Cottage,http://www.heritageireland.ie/en/midlands-eastcoast/dwyermcallistercottage,35340445325,-6.5648108,52.9619269,Wicklow,Donard,Ireland,"Historic Houses and Castle,Museums and Attraction"
Inishbofin Island (Inis Bó Finne),http://www.donegalislands.com,+353(0)749135635,-8.170623921,55.1678058,Donegal,,Ireland,"Bird Watching,Nature and Wildlife,Kayaking,Activity Operator,Kitesurfing,Windsurfing,Walking,Beach,Island,Offshore Island,Natural Landscape"
Rosses Point Coastal Walk,https://www.discoverireland.ie/sligo,,-8.557107709,54.30834572,Sligo,Rosses Point,Republic of Ireland,"Walking,Natural Landscape,Public Sculpture"
Littor Beach,,,-9.5787059,52.5737055,Kerry,,Ireland,Beach
Coppinger's Court,"http://www.megalithicireland.com/Coppinger's%20Court,%20Cork.html",3532821489,-9.0668602,51.5716479,Cork,,Ireland,"Castle,Historic Houses and Castle"
City Assembly House,http://www.igs.ie/conservation/project/city-assembly-house-a-history,+353(0)16798675,-6.2624532,53.34199229,Dublin,,Ireland,"Craft,Shopping,Historic Houses and Castle,Art Gallery,Museums and Attraction,Food Shops"
Goats Island ,,,-7.761013,51.9456704,Waterford,,Ireland,Beach
Ballyvaughan Pier,,,-9.153682,53.119533,Clare,Ballyvaughan,Ireland,Discovery Point
The Village At Wheelock’s,https://thevillageatwheelocks.ie,353539000000,-6.517368,52.508417,Wexford,Enniscorthy,Ireland,"Covid Safety Charter,Visitor Farm,Cafe,Food and Drink,Local Produce,Restaurant"
Blessington Street Basin (Dublin's Secret Garden),http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/blessington-street-basin,+353(0)16612369,-6.269691598,53.35722262,Dublin,Dublin City,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Gardens,Garden"
Royal Irish Academy,http://www.ria.ie,+353(0)16762570,-6.258085,53.340716,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction"
Fahan Beehive Huts,http://www.ancientireland.org/fahan,353879000000,-10.421536,52.1016785,Kerry,Fahan,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kildemock Jumping Church,http://www.louthholidays.com,353429000000,-6.518018,53.831371,Louth,Ardee,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Kayaking.ie,http://www.kayaking.ie,353862000000,-6.093727731,53.27486714,Dublin,Dalkey,Ireland,"Kayaking,Activity Operator,River,Discovery Point,Boat,Tour"
Merry Ploughboy Pub Traditional Nights,http://www.mpbpub.com,35314931495,-6.2968957,53.2641499,Dublin,Rathfarnham,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Activity Operator,Historic Houses and Castle,Traditionally Irish,Venue,Music,Local Produce,Pubs and Bar,Food Shops,Shopping"
JJ Corry Irish Whiskey Experience,https://www.chapelgatewhiskey.com,353864000000,-9.4353561,52.6770232,Clare,,Ireland,"Museums and Attraction,Tour"
Cé an Bhuna Bhig (Bunbeg Harbour),,,-8.3093977,55.057756,Donegal,Bunbeg,Ireland,Embarkation Point
Dublin Discovered Boat Tours,http://www.instagram.com/dublindiscovered,+353(0)14730000,-6.261545,53.34718,Dublin,,Republic of Ireland,"Covid Safety Charter,Activity Operator,River,Discovery Point,Boat,Tour"
Merrion Square,,+353(0)16612369,-6.25002,53.3388,Dublin,,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Ballinafad Castle,http://www.megalithicireland.com/Ballinafad%20Castle.html,,-8.335818,54.0259909,Sligo,Ballinafad,Ireland,"Castle,Historic Houses and Castle"
Garden Tours of Ireland,https://www.gardentoursofireland.com,35350454688,-7.9378116,52.6518532,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Activity Operator,Gardens,Garden,Tour"
Pure Skill,https://www.pureskill.ie,35391515510,-9.1005695,53.271107,Galway,,Ireland,"Gaa,Activity Operator"
An Chonair (Conor Pass),,,-10.207747,52.181771,Kerry,Dingle Peninsula,Ireland,Discovery Point
Foynes Island - Viewpoint,,,-9.11306,52.613836,Limerick,Foynes,Ireland,Discovery Point
Clare Abbey,http://monastic.ie/history/clare-augustinian-abbey,353657000000,-8.9689595,52.8290238,Clare,Ennis,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Go Gaelic,http://www.gogaelic.ie,353879000000,-8.966588827,52.81404477,Clare,Clarecastle,Ireland,"Gaa,Learning,Activity Operator,Venue,Sports Venues"
The Yeats Encounter,https://facebook.com/The-Yeats-Encounter-618433715302579,353871000000,-8.477227718,54.27385633,Sligo,Sligo Town,Republic of Ireland,"Activity Operator,Literary Ireland"
Donaghmore Round Tower,http://www.navanhistory.ie/index.php?page=donaghmore,,-6.6624651,53.670453,Meath,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Avoca Powerscourt,https://www.avoca.com/en/stores-and-cafes/powersourt,35312046066,-6.1866327,53.184251,Wicklow,Enniskerry,Republic of Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Shopping,Shopping Centres and Department Store,Historic Houses and Castle,Cafe,Vegetarian,Food Shops"
Killagholehane Cemetery and Church,https://www.limerick.ie/discover/eat-see-do/history-heritage/churches-settlements/killagholehane-cemetery-and-church-ruin,35361396255,-8.979017,52.331277,Limerick,Broadford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kilkenny City Library,https://www.kilkennylibrary.ie,+353(0)567794174,-7.250184,52.653473,Kilkenny,Kilkenny City,Republic of Ireland,"Learning,Literary Ireland"
Doran's Point,,,-9.8685068,54.005341,Mayo,Ballycroy,Ireland,Embarkation Point
St. Patrick's Well Cross,,,-7.393276564,52.41607104,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
West Cork Heritage Centre,https://westcorkheritagecentre.com,353239000000,-8.7366366,51.7467306,Cork,Bandon,Ireland,Museums and Attraction
Black Linn Loop,https://visithowth.ie/the-black-linn-loop-walk/,35318323347,-6.065795119,53.38799393,Dublin,Howth,Republic of Ireland,"Walking,Marina,Venue,Natural Landscape"
West Gate Heritage Tower,http://wexfordhub.com/history/westgate-tower,353539000000,-6.466286,52.341426,Wexford,,Republic of Ireland,Museums and Attraction
Glascarrig Beach,,,-6.204060286,52.58147885,Wexford,Cahore,Republic of Ireland,Beach
Tramline Loop,https://visithowth.ie/the-tramline-loop/,35318323347,-6.066380923,53.38800343,Dublin,Howth,Republic of Ireland,"Walking,Natural Landscape,Public Park,Nature and Wildlife"
Tolka Valley Park,,+353(0)18905629,-6.384194116,53.39496052,Dublin,Blanchardstown,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Doheny & Nesbitt,http://dohenyandnesbitts.ie/,35316762945,-6.2528309,53.33805,Dublin,Dublin,Ireland,"Food and Drink,Restaurant,Historic Houses and Castle,Pubs and Bar"
Srón Bhroin (Brandon Point),,,-10.160739,52.287794,Kerry,Brandon,Ireland,Discovery Point
Inishmurray Island,https://inishmurray.com/,,-8.661407319,54.43244977,Sligo,Inishmurray,Republic of Ireland,"Island,Offshore Island"
Old Coastguard Station,http://www.jamescahill.com/coastguardstation.html,353949000000,-9.6208477,53.8213183,Mayo,,Ireland,Historic Houses and Castle
Inis Fraoigh (Inishfree Island),,,-8.44568,54.954042,Donegal,,Ireland,Discovery Point
Clonfert Cathedral,http://www.megalithicireland.com/Clonfert%20Cathedral.html,,-8.0583679,53.2406887,Galway,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Macroom Castle,https://www.castles.nl/macroom-castle,3532620544,-8.961492,51.904995,Cork,Macroom,Republic of Ireland,"Castle,Historic Houses and Castle"
Cé Bhaile an Sceilg (Ballinskelligs Pier),,,-10.274349,51.810877,Kerry,Ballinskelligs,Ireland,Embarkation Point
Mountcharles Pier,,,-8.2061166,54.630369,Donegal,Mountcharles,Ireland,Discovery Point
Bearna Breac Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,-7.398690855,52.46418975,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Marlay Demesne,http://www.dlrcoco.ie/en/parks-outdoors/parks/marlay-park,+353(0)12054700,-6.27569,53.2796,Dublin,Rathfarnham,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping,Tour"
Charles Fort,https://heritageireland.ie/places-to-visit/charles-fort-national-monument/,353215000000,-8.4989435,51.6970946,Cork,Kinsale,Ireland,"Covid Safety Charter,Castle,Historic Houses and Castle"
Tourin House & Gardens,http://tourin.ie/,3535854405,-7.8641684,52.1202193,Waterford,Cappoquin,Ireland,"Historic Houses and Castle,Gardens,Garden"
"The Glen, Strandhill",,,-8.580854643,54.26105082,Sligo,Strandhill,Ireland,Natural Landscape
Phil Lynott Statue,,,-6.2606956,53.341281,Dublin,,Ireland,Public Sculpture
Carrowteige - Black Ditch Loop,https://www.irishtrails.ie/Trail/Carrowteige---Black-Ditch-loop/140/ ,,-9.987016054,54.22138267,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Angela's Ashes Walking Tour,https://www.limerick.ie/discover/eat-see-do/tours/angelas-ashes-walking-tours,+353(0)833000111,-8.62566,52.6653,Limerick,,Republic of Ireland,"Walking,Activity Operator,Literary Ireland,Tour"
Famine Memorial,,,-6.250194,53.347933,Dublin,,Republic of Ireland,Public Sculpture
Macroom Buffalo Farm with O'Tuama Tours,https://www.otuamatours.ie,353869000000,-9.247536,51.85041,Cork,Ballingeary,Republic of Ireland,"Food and Drink,Restaurant,Activity Operator,Visitor Farm,Local Produce,Tour"
The Back Lane Pop Up Gallery,http://thebacklanegallery.blogspot.com/,353873000000,-9.5062927,52.0589956,Kerry,Killarney,Ireland,"Craft,Shopping,Art Gallery"
Ferns Cathedral,https://www.archaeology.ie/monument-of-the-month/archive/ferns-co-wexford,,-6.4926135,52.5899833,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Spire,,,-6.260294,53.350921,Dublin,Dublin City,Ireland,Public Sculpture
Courtown  Beach,,,-6.2260467,52.6479582,Wexford,Courtown,Ireland,Beach
